id,name,title,authors,day,starttime,endtime,timezone,room,authorsfull,summary,techlevel,audience,value,background,outline
T1,Tutorial 1,Building Social Extended Realities with Ubiq,"Anthony Steed, Ben Congdon","Saturday,&nbsp;March&nbsp;1,&nbsp;2025",10:30,12:00,"Saint-Malo France UTC+1",Vauban 1,,,,,,,
T2,Tutorial 2,"A Hands-on Introduction to PLUME – a Toolbox to Record, Replay and Analyze XR experiments",Sophie Villenave,"Saturday,&nbsp;March&nbsp;1,&nbsp;2025",16:00,17:30,"Saint-Malo France UTC+1",Vauban 1,,,,,,,
T3,Tutorial 3,Production of Immersive VR games for Cultural Heritage,Selma Rizvic,"Saturday,&nbsp;March&nbsp;1,&nbsp;2025",8:30,10:00,"Saint-Malo France UTC+1",Vauban 1,,,,,,,
T4,Tutorial 4,"Creating Realistic Avatars with Motion Capture for Animation, Games, and XR",Jason Webb,"Sunday,&nbsp;March&nbsp;2,&nbsp;2025",8:30,10:00,"Saint-Malo France UTC+1",Vauban 2,,,,,,,
T5,Tutorial 5,A Practical Guide to Radiance Fields for XR Research and Applications,"Ke Li, Shohei Mori Mana Masuda","Saturday,&nbsp;March&nbsp;1,&nbsp;2025",8:30,10:00,"Saint-Malo France UTC+1",Vauban 1,,,,,,,
T6,Tutorial 6,Interaction Design for Extended Reality,"Mark Billinghurst, Joaquim Jorge","Saturday,&nbsp;March&nbsp;1,&nbsp;2025",14:00,15:30,"Saint-Malo France UTC+1",Vauban 1,,,,,,,
T7,Tutorial 7,Responsible AI and Ethics in Extended Reality for Education,"Marios Constantinides, Fotis Liarokapis, Nuria Pelanchano, Joaquim Jorge","Sunday,&nbsp;March&nbsp;2,&nbsp;2025",14:00,17:30,"Saint-Malo France UTC+1",Vauban 2,,,,,,,
T8,Tutorial 8,Reviewing and Publication Models in the Era of Online Publishing and Generative AI:,Edward Swan II,"Sunday,&nbsp;March&nbsp;2,&nbsp;2025",10:30,12:00,"Saint-Malo France UTC+1",Vauban 2,,,,,,,
T9,Tutorial 9,Building and Regulating the Metaverse,"Anthony Steed, Doron Friedman","Saturday,&nbsp;March&nbsp;1,&nbsp;2025",10:30,12:00,"Saint-Malo France UTC+1",Vauban 1,,,,,,,
T10,Tutorial 10,XR and the Metaverse in Clinical Applications,Mel Slater,"Sunday,&nbsp;March&nbsp;2,&nbsp;2025",8:30,12:00,"Saint-Malo France UTC+1",Vauban 2,,,,,,,
T11,Tutorial 11,MATRIX: Multimodal Acquisition and Transformation for Realtime Interaction in XR,Aurelien Milliat ,"Sunday,&nbsp;March&nbsp;2,&nbsp;2025",14:00,15:30,"Saint-Malo France UTC+1",Vauban 2,,,,,,,
T12,Tutorial 12,Imagined Future - Historical view on converging technologies and how scifi’s predictions sometimes become reality,Santeri Saarinen,"Saturday,&nbsp;March&nbsp;1,&nbsp;2025",14:00,15:30,"Saint-Malo France UTC+1",Vauban 1,,,,,,,
T13,Tutorial 13,Introduction to 3D Sound: A Tutorial on Spatial Audio Perception and Unity Integration ,Joanna Luberadzka,"Sunday,&nbsp;March&nbsp;2,&nbsp;2025",16:00,17:30,"Saint-Malo France UTC+1",Vauban 2,,,,,,,
